segment_id,s_start_m,s_end_m,segment_length_m,radius_mean_m,diameter_mean_m,diameter_prox_m,diameter_dist_m,cross_section_area_m2,curvature_mean_per_m,resistance_segment
87,0.0247485283762216,0.0250919088721275,0.00034338047,0.0010052492806497,0.0020104985612994,0.001998634818418301,0.0020329833083905773,3.1746614230617244e-06,138.38452000000623,2997013.281720626
88,0.0250919088721275,0.0254212226718664,0.0003293141,0.0010272734801712,0.0020545469603424,0.0020329833083905773,0.0020128663163575377,3.315293834304099e-06,178.7014800000009,2635567.6842489694
89,0.0254212226718664,0.0257359649986028,0.00031474204,0.0009865149785002,0.0019730299570004,0.0020128663163575377,0.0019332736088238569,3.0574350500800205e-06,184.39917,2961748.541151752
90,0.0257359649986028,0.0260390248149633,0.00030306028,0.0009474964623701,0.0018949929247402,0.0019332736088238569,0.0018998237620481615,2.8203633791176626e-06,124.16024000001015,3351404.2484602933
91,0.0260390248149633,0.0263362117111682,0.00029718768,0.0009522804918859,0.0019045609837718,0.0018998237620481615,0.001967039421684263,2.8489160236230475e-06,96.94076500000472,3220916.197229968
92,0.0263362117111682,0.0266374144703149,0.0003012025,0.0010151810628848,0.0020303621257696,0.001967039421684263,0.00202266582293318,3.237702110970627e-06,151.9949299999911,2527508.8715840154
93,0.0266374144703149,0.0269486140459775,0.00031119992,0.0010073570412195,0.002014714082439,0.00202266582293318,0.001975197892792583,3.187988348903157e-06,208.15591,2693481.347795376
94,0.0269486140459775,0.0272668451070785,0.0003182307,0.0009673944217997,0.0019347888435994,0.001975197892792583,0.0018548230591251492,2.940065665409445e-06,230.33821,3238440.8156498447
95,0.0272668451070785,0.0275885220617055,0.00032167687,0.0008869956915626,0.0017739913831252,0.0018548230591251492,0.0017565296685030994,2.471683698810314e-06,195.15134,4631716.384478532
96,0.0275885220617055,0.0279120933264493,0.0003235705,0.0008694825621559,0.0017389651243118,0.0017565296685030994,0.0017830000203346713,2.375043813300738e-06,122.737114,5045841.255023074
97,0.0279120933264493,0.0282366275787353,0.00032453367,0.000913582984789,0.001827165969578,0.0017830000203346713,0.0018658264189442709,2.622079634730791e-06,81.069046,4152177.8166161184
98,0.0282366275787353,0.028564753010869,0.00032812558,0.0009524573355011,0.0019049146710022,0.0018658264189442709,0.0019300899885579643,2.8499742399648405e-06,76.15309000000039,3553580.238114868
99,0.028564753010869,0.0289019774645566,0.0003372247,0.0009779817127984,0.0019559634255968,0.0019300899885579643,0.0019698342778062066,3.004770734691969e-06,78.82165999999997,3285523.5350756343
100,0.0289019774645566,0.0292482171207666,0.00034624024,0.0009920379734805,0.001984075946961,0.0019698342778062066,0.0019694032106755467,3.0917649232517726e-06,75.25611,3186196.253771237
101,0.0292482171207666,0.0295907985419034,0.00034258157,0.0009774427504399,0.0019548855008798,0.0019694032106755467,0.0018696767317367719,3.0014598096270583e-06,123.96523,3345082.588929788
102,0.0295907985419034,0.0299143679440021,0.00032356856,0.0008945983692076,0.0017891967384152,0.0018696767317367719,0.0017718776012454723,2.51423621108275e-06,208.49694999998678,4502586.497960271
103,0.0299143679440021,0.0302179437130689,0.00030357644,0.0008778143142656,0.0017556286285312,0.0017718776012454723,0.0018408710202362654,2.42077925875253e-06,222.73029,4556858.918380351
104,0.0302179437130689,0.0305115263909101,0.00029358224,0.0009616537036836,0.0019233074073672,0.0018408710202362654,0.001969588873007076,2.905275286594697e-06,142.44705,3059589.288411066
