"U:0","U:1","U:2","p","Cell Type"
-1.97467001e-04,3.63503990e-04,8.02389986e-05,8.84891003e-02,5
-1.29414999e-04,5.55679027e-04,6.06026006e-05,8.84416029e-02,5
-1.29414999e-04,5.55679027e-04,6.06026006e-05,8.84416029e-02,5
9.10216011e-03,2.09554993e-02,-2.02303007e-02,8.57212991e-02,5
9.10216011e-03,2.09554993e-02,-2.02303007e-02,8.57212991e-02,5
9.10216011e-03,2.09554993e-02,-2.02303007e-02,8.57212991e-02,5
1.71067007e-02,3.19495983e-02,-2.78737992e-02,8.53039026e-02,5
1.71067007e-02,3.19495983e-02,-2.78737992e-02,8.53039026e-02,5
1.79526992e-02,3.53938006e-02,-3.02524995e-02,8.55545998e-02,5
8.42383970e-03,1.92342997e-02,-1.85203999e-02,8.54336992e-02,5
8.42383970e-03,1.92342997e-02,-1.85203999e-02,8.54336992e-02,5
5.31700999e-03,3.27690989e-02,-2.05099005e-02,8.84592012e-02,5
5.31700999e-03,3.27690989e-02,-2.05099005e-02,8.84592012e-02,5
1.58211999e-02,3.62496004e-02,-2.46290006e-02,8.86078030e-02,5
1.58211999e-02,3.62496004e-02,-2.46290006e-02,8.86078030e-02,5
1.71482991e-02,4.64701988e-02,-2.86356006e-02,8.84186998e-02,5
1.71482991e-02,4.64701988e-02,-2.86356006e-02,8.84186998e-02,5
1.89174991e-02,5.51363006e-02,-3.62720005e-02,8.85050967e-02,5
1.89174991e-02,5.51363006e-02,-3.62720005e-02,8.85050967e-02,5
1.85796004e-02,4.37351018e-02,-3.33780013e-02,8.87337029e-02,5
1.85796004e-02,4.37351018e-02,-3.33780013e-02,8.87337029e-02,5
1.13887005e-02,5.55502996e-03,-6.71637012e-03,8.89872983e-02,5
1.13887005e-02,5.55502996e-03,-6.71637012e-03,8.89872983e-02,5
7.06238998e-03,2.63301004e-02,-1.69217009e-02,8.89621973e-02,5
7.06238998e-03,2.63301004e-02,-1.69217009e-02,8.89621973e-02,5
6.30574999e-03,1.34937996e-02,-8.16494972e-03,8.89329985e-02,5
6.30574999e-03,1.34937996e-02,-8.16494972e-03,8.89329985e-02,5
5.39464988e-02,-2.49865994e-01,1.57492999e-02,9.46203023e-02,5
5.39464988e-02,-2.49865994e-01,1.57492999e-02,9.46203023e-02,5
5.39464988e-02,-2.49865994e-01,1.57492999e-02,9.46203023e-02,5
1.62074998e-01,-4.47618991e-01,7.55444989e-02,9.07341018e-02,5
1.62074998e-01,-4.47618991e-01,7.55444989e-02,9.07341018e-02,5
7.87331015e-02,-3.44512999e-01,3.31396013e-02,9.10468027e-02,5
7.87331015e-02,-3.44512999e-01,3.31396013e-02,9.10468027e-02,5
7.87331015e-02,-3.44512999e-01,3.31396013e-02,9.10468027e-02,5
1.19107999e-01,-3.67819011e-01,6.07731007e-02,9.57574993e-02,5
1.19107999e-01,-3.67819011e-01,6.07731007e-02,9.57574993e-02,5
9.64810997e-02,-3.43250006e-01,4.14473005e-02,9.16725993e-02,5
