"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.010765,-0.027444,-0.0078901,0.126,-0.18929,-0.0092678,0.28872
0.010715,-0.027485,-0.0078897,0.20574,-0.27947,-0.018911,0.28587
0.010639,-0.027533,-0.0077583,0.29522,-0.37119,-0.02796,0.28591
0.010695,-0.027487,-0.0077578,0.25272,-0.33692,-0.032805,0.28557
0.010662,-0.027516,-0.0077774,0.25827,-0.33581,-0.026004,0.28254
0.010594,-0.027576,-0.0078083,0.27439,-0.35033,-0.023687,0.28952
0.01066,-0.027514,-0.0077412,0.30378,-0.37778,-0.031809,0.28086
0.010605,-0.027557,-0.0077197,0.32722,-0.40384,-0.029472,0.28907
0.010847,-0.027362,-0.0077586,0.11541,-0.16728,-0.010532,0.28226
0.01077,-0.027418,-0.0076935,0.17788,-0.26249,-0.03193,0.28478
0.010642,-0.027477,-0.0072501,0.19826,-0.31617,-0.049846,0.30037
0.010655,-0.027467,-0.0072602,0.18466,-0.3093,-0.053662,0.29729
0.010638,-0.02748,-0.007255,0.24406,-0.34533,-0.045302,0.30237
0.010656,-0.027463,-0.0072387,0.17021,-0.29839,-0.051571,0.30033
