"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.00078586,0.0071569,-0.0022312,0.088821,0.015762,-0.034093,-0.0046169
0.00028346,0.0038207,-0.00026752,0.088874,0.015825,-0.034063,-0.004617
-0.0004206,0.001553,4.6042e-05,0.088771,0.015832,-0.034051,-0.004486
-0.0002874,0.00086359,0.00016434,0.088803,0.015872,-0.034033,-0.0044974
-0.00038723,0.001054,0.00025036,0.088865,0.015896,-0.034025,-0.0045524
-0.00016542,-0.00055665,-0.00043783,0.084515,0.014227,-0.034878,-0.0054377
-1.2452e-05,-9.5752e-05,-0.00067627,0.084531,0.014234,-0.03487,-0.005375
-0.00010712,-0.00092079,-0.00099978,0.084563,0.014236,-0.034874,-0.0054377
0.00044756,0.00025409,-0.0017946,0.08461,0.014239,-0.034868,-0.005375
0.00044669,0.00045011,-0.0017955,0.084515,0.01424,-0.034864,-0.0053251
0.022098,-0.065161,0.021965,0.08943,0.016062,-0.033999,-0.0053132
0.016321,-0.049332,0.019602,0.089538,0.016053,-0.033999,-0.0052497
0.013568,-0.038567,0.019357,0.089395,0.016074,-0.033993,-0.0053133
0.014431,-0.040128,0.01496,0.089197,0.016079,-0.033995,-0.0053767
0.0036313,-0.017534,0.0078223,0.089659,0.016137,-0.033963,-0.0053169
0.0057595,-0.021508,0.0071546,0.089529,0.016157,-0.033959,-0.0053931
0.00059346,-0.0059423,0.0028498,0.089938,0.016162,-0.033951,-0.0053063
0.0027217,0.0073227,-0.0025719,0.088219,0.014674,-0.034578,-0.0041556
0.0030354,0.0068684,-0.0023855,0.088667,0.014614,-0.03461,-0.0042074
0.0050399,0.0096741,-0.0046787,0.088944,0.014579,-0.034629,-0.0042429
0.0074768,0.02615,-0.0081845,0.088043,0.014865,-0.034493,-0.0042355
0.0058632,0.01775,-0.0047945,0.087991,0.014811,-0.034514,-0.0041666
0.0039045,0.013341,-0.0030446,0.087983,0.014852,-0.034494,-0.0041712
0.012568,0.03948,-0.01349,0.088087,0.014805,-0.034521,-0.0042325
0.0043364,0.012063,-0.0036704,0.08809,0.014741,-0.034546,-0.0041587
0.0023166,0.0057866,-0.0010332,0.087969,0.014765,-0.034531,-0.0040984
0.0028152,0.0084594,-0.0016003,0.08793,0.014808,-0.034511,-0.0041008
0.0015458,0.0052469,-0.00085265,0.087924,0.014854,-0.034489,-0.0041103
0.00075996,0.0025721,-0.00030897,0.087859,0.014825,-0.034502,-0.0040899
0.0029696,0.012057,-0.0026333,0.088,0.014871,-0.034486,-0.0041735
0.004727,0.020722,-0.0064874,0.088063,0.014867,-0.034492,-0.0042356
0.0013267,0.0049947,-0.0005287,0.087926,0.014873,-0.034481,-0.0041148
0.0018962,0.0069251,-0.00074956,0.087898,0.014934,-0.034452,-0.004118
0.00090171,0.0032672,-7.3822e-05,0.087839,0.01494,-0.034446,-0.0040779
0.0025432,0.0089835,-0.0010774,0.087919,0.014996,-0.034422,-0.0041167
0.0011112,0.0040646,-8.7715e-05,0.087847,0.014999,-0.034418,-0.0040716
0.00046686,0.0016758,-8.2244e-05,0.087878,0.014881,-0.034474,-0.0040839
0.0055102,0.024243,-0.0081278,0.088079,0.01493,-0.034462,-0.0042378
0.0040783,0.015563,-0.0032972,0.088018,0.014932,-0.034457,-0.0041766
0.0053925,0.018891,-0.0042221,0.08807,0.014994,-0.034427,-0.0041772
0.0015529,-0.0010288,-0.0025952,0.082285,0.014502,-0.03485,-0.006933
0.0042481,-0.0043745,-0.0036589,0.082364,0.014553,-0.034827,-0.0069436
0.01,-0.010211,-0.0035139,0.082521,0.014614,-0.034798,-0.0069471
0.0017975,-0.0027855,-0.0027013,0.08269,0.014484,-0.034855,-0.006881
0.0067037,-0.010829,-0.0027068,0.082755,0.014553,-0.034823,-0.0068802
0.013366,-0.020885,0.00045058,0.082943,0.014614,-0.034794,-0.0068826
0.042934,-0.086984,0.027773,0.084186,0.014645,-0.034753,-0.0065053
0.046572,-0.10142,0.024938,0.084621,0.014628,-0.034752,-0.006379
0.027126,-0.072104,0.0079986,0.084803,0.014609,-0.034753,-0.0062523
0.014914,-0.048648,0.0032833,0.084836,0.014481,-0.034814,-0.0062522
0.010051,-0.037206,0.0017468,0.084672,0.014481,-0.034818,-0.0063155
0.071108,-0.14272,0.042864,0.084524,0.014737,-0.034701,-0.0063792
0.075403,-0.15053,0.052258,0.083781,0.014738,-0.034709,-0.0065059
0.048074,-0.11636,0.020255,0.084995,0.01461,-0.034752,-0.0062523
0.075009,-0.1578,0.034495,0.084931,0.014737,-0.034692,-0.0062526
0.010469,-0.012827,-0.021201,0.085106,0.01462,-0.034687,-0.0053743
0.0038415,-0.036614,-0.015754,0.085168,0.01462,-0.034696,-0.0054991
0.0043273,-0.018205,-0.014576,0.085116,0.0145,-0.034744,-0.0053753
0.0027578,-0.022602,-0.013169,0.085114,0.0145,-0.034748,-0.0054378
0.016849,0.0060802,-0.026818,0.085076,0.014619,-0.034679,-0.0052491
0.0088138,-0.0017266,-0.01825,0.085148,0.014499,-0.034736,-0.00525
0.0067407,-0.0075508,-0.015885,0.085138,0.014501,-0.03474,-0.005313
